Zoom Level,X,Y,Top Latitude,Bottom Latitude,Left Longitude,Right Longitude
3,1,2,66.51326044311186,40.97989806962013,-135.0,-90.0
3,1,3,40.97989806962013,0.0,-135.0,-90.0
3,2,2,66.51326044311186,40.97989806962013,-90.0,-45.0
3,2,3,40.97989806962013,0.0,-90.0,-45.0
4,2,5,55.7765730186677,40.97989806962013,-135.0,-112.5
4,2,6,40.97989806962013,21.943045533438177,-135.0,-112.5
4,3,5,55.7765730186677,40.97989806962013,-112.5,-90.0
4,3,6,40.97989806962013,21.943045533438177,-112.5,-90.0
4,4,5,55.7765730186677,40.97989806962013,-90.0,-67.5
4,4,6,40.97989806962013,21.943045533438177,-90.0,-67.5
4,5,5,55.7765730186677,40.97989806962013,-67.5,-45.0
4,5,6,40.97989806962013,21.943045533438177,-67.5,-45.0
5,4,10,55.7765730186677,48.92249926375824,-135.0,-123.75
5,4,11,48.92249926375824,40.97989806962013,-135.0,-123.75
5,4,12,40.97989806962013,31.952162238024968,-135.0,-123.75
5,4,13,31.952162238024968,21.943045533438177,-135.0,-123.75
5,5,10,55.7765730186677,48.92249926375824,-123.75,-112.5
5,5,11,48.92249926375824,40.97989806962013,-123.75,-112.5
5,5,12,40.97989806962013,31.952162238024968,-123.75,-112.5
5,5,13,31.952162238024968,21.943045533438177,-123.75,-112.5
5,6,10,55.7765730186677,48.92249926375824,-112.5,-101.25
5,6,11,48.92249926375824,40.97989806962013,-112.5,-101.25
5,6,12,40.97989806962013,31.952162238024968,-112.5,-101.25
5,6,13,31.952162238024968,21.943045533438177,-112.5,-101.25
5,7,10,55.7765730186677,48.92249926375824,-101.25,-90.0
5,7,11,48.92249926375824,40.97989806962013,-101.25,-90.0
5,7,12,40.97989806962013,31.952162238024968,-101.25,-90.0
5,7,13,31.952162238024968,21.943045533438177,-101.25,-90.0
5,8,10,55.7765730186677,48.92249926375824,-90.0,-78.75
5,8,11,48.92249926375824,40.97989806962013,-90.0,-78.75
5,8,12,40.97989806962013,31.952162238024968,-90.0,-78.75
5,8,13,31.952162238024968,21.943045533438177,-90.0,-78.75
5,9,10,55.7765730186677,48.92249926375824,-78.75,-67.5
5,9,11,48.92249926375824,40.97989806962013,-78.75,-67.5
5,9,12,40.97989806962013,31.952162238024968,-78.75,-67.5
5,9,13,31.952162238024968,21.943045533438177,-78.75,-67.5
5,10,10,55.7765730186677,48.92249926375824,-67.5,-56.25
5,10,11,48.92249926375824,40.97989806962013,-67.5,-56.25
5,10,12,40.97989806962013,31.952162238024968,-67.5,-56.25
5,10,13,31.952162238024968,21.943045533438177,-67.5,-56.25
5,11,10,55.7765730186677,48.92249926375824,-56.25,-45.0
5,11,11,48.92249926375824,40.97989806962013,-56.25,-45.0
5,11,12,40.97989806962013,31.952162238024968,-56.25,-45.0
5,11,13,31.952162238024968,21.943045533438177,-56.25,-45.0
6,9,21,52.48278022207821,48.92249926375824,-129.375,-123.75
6,9,22,48.92249926375824,45.089035564831015,-129.375,-123.75
6,9,23,45.089035564831015,40.97989806962013,-129.375,-123.75
6,9,24,40.97989806962013,36.59788913307021,-129.375,-123.75
6,9,25,36.59788913307021,31.952162238024968,-129.375,-123.75
6,9,26,31.952162238024968,27.059125784374054,-129.375,-123.75
6,9,27,27.059125784374054,21.943045533438177,-129.375,-123.75
6,9,28,21.943045533438177,16.636191878397653,-129.375,-123.75
6,10,21,52.48278022207821,48.92249926375824,-123.75,-118.125
6,10,22,48.92249926375824,45.089035564831015,-123.75,-118.125
6,10,23,45.089035564831015,40.97989806962013,-123.75,-118.125
6,10,24,40.97989806962013,36.59788913307021,-123.75,-118.125
6,10,25,36.59788913307021,31.952162238024968,-123.75,-118.125
6,10,26,31.952162238024968,27.059125784374054,-123.75,-118.125
6,10,27,27.059125784374054,21.943045533438177,-123.75,-118.125
6,10,28,21.943045533438177,16.636191878397653,-123.75,-118.125
6,11,21,52.48278022207821,48.92249926375824,-118.125,-112.5
6,11,22,48.92249926375824,45.089035564831015,-118.125,-112.5
